product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
98,Геркулес,1463,797,Бакалея,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2006-09-01,2030-01-07,4.31,Available for Pickup
99,Лук-порей,9273,858,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1990-02-01,2017-06-05,0.87,In Stock
100,Патиссон,3834,3,Овощи,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2007-10-05,2021-02-01,2.18,Cancelled
101,Ройбос,8140,651,Напитки,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2000-08-04,2011-03-03,4.6,Sold
102,Варенье,7609,738,Бакалея,Отличается высокой питательностью и способен быстро утолить голод.,2000-01-04,2007-02-04,0.15,Delivered
103,Пензенская,6322,795,Напитки,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2008-07-12,2027-03-07,4.07,Awaiting Review
104,Камамбер,547,850,Молочные продукты,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2016-02-02,2019-05-04,1.09,Temporarily Unavailable
105,Студень,3554,730,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,2000-01-20,2002-10-09,1.2,Available for Pickup
106,Сангрия безалкогольная,7095,215,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1998-04-14,2012-02-02,1.68,Refunded
107,Пакеты для тренинга,3743,592,Товары для дома,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2006-02-02,2008-04-03,2.31,Cancelled
108,Конфи,6379,815,Мясо,Подходит для использования в рецептах традиционной кухни разных стран.,1996-05-06,2007-10-01,1.86,Awaiting Review
109,Банан,2414,501,Фрукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1998-02-05,2001-02-26,2.29,Sold
110,Огурец,5791,165,Овощи,"Подходит для приготовления как горячих, так и холодных блюд.",2022-01-06,2026-08-13,4.14,Backorder
111,Пледы,8799,125,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2012-01-13,2021-03-02,4.24,Temporarily Unavailable
112,Клюква,8774,651,Фрукты,Отличается высоким уровнем биологической доступности питательных веществ.,2003-01-20,2028-01-08,4.18,On Backorder
113,Гауда,283,715,Молочные продукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1991-02-03,2021-01-07,2.69,Cancelled
114,Эскалоп,320,503,Мясо,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2019-02-22,2023-03-27,2.85,Temporarily Unavailable
115,Фенхель,8063,146,Овощи,Отличается высокими показателями усвояемости организмом.,1994-01-02,2010-02-03,2.18,Cancelled
116,Верблюжье молоко,4938,824,Молочные продукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1991-11-02,2022-06-16,2.35,Temporarily Unavailable
117,Молоко,7542,522,Молочные продукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2018-03-07,2022-02-17,1.5,Available for Pickup
118,Простокваша,153,990,Молочные продукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,1998-01-12,2002-05-08,3.19,Cancelled
119,Топлёное молоко,5460,255,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2008-06-07,2027-07-02,3.2,Returned
120,Творог,8856,359,Бакалея,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2009-03-14,2021-02-13,0.03,Backorder
121,Пакеты для путешествий,2368,111,Товары для дома,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2014-01-01,2027-01-09,1.33,Returned
122,Лимон,3720,528,Фрукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2020-08-03,2028-03-10,3.72,Out of Stock
123,Кольраби,3843,828,Овощи,Помогает поддерживать нормальный уровень гемоглобина в крови.,1995-03-03,2024-07-13,4.15,Refunded
124,Салями,4539,772,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2015-01-04,2028-04-01,2.16,Backorder
125,Рулька,7611,765,Мясо,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1992-04-03,2018-02-04,4.04,Out of Stock
126,Крыжовник,2190,631,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,2010-02-23,2024-01-01,4.55,In Stock
127,Кетчуп,3610,515,Бакалея,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2014-06-14,2017-01-13,0.48,Awaiting Payment
128,Пензенская,3714,590,Напитки,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2001-06-12,2028-02-02,0.75,Awaiting Payment
129,Уксус,3333,440,Бакалея,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1995-01-02,2022-01-10,4.92,Temporarily Unavailable
130,Старый источник,6723,186,Напитки,Помогает поддерживать здоровый цвет лица и упругость кожи.,2010-03-01,2021-03-24,4.12,Shipping
131,Пакеты для Дня знаний,4616,835,Товары для дома,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2011-06-07,2014-01-02,0.75,Out of Stock
132,Пакеты для Пасхи,1598,382,Товары для дома,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2005-09-01,2023-01-05,4.6,Pending
133,Ливерная колбаса,2035,904,Мясо,Отличается удобством использования и экономичностью в расходе.,2017-01-20,2028-01-01,3.75,New
134,Сыворотка молочная,9590,222,Бакалея,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2007-05-01,2007-09-16,1.8,New
135,Баклажан,2038,965,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2016-02-12,2020-05-18,0.99,Shipping
136,Сок ананасовый,1595,790,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2008-07-05,2019-02-09,2.96,Sold
137,Кружки,359,45,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,1990-08-11,1998-02-16,1.27,Out of Stock
138,Кунжут белый,9448,462,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1991-01-03,2013-04-18,0.99,Awaiting Payment
139,Колбаса вареная,2013,894,Мясо,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2013-05-06,2029-04-20,0.24,On Backorder
140,Варенье,7287,272,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2009-01-15,2009-07-19,3.72,Temporarily Unavailable
141,Российский сыр,1329,267,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1992-06-16,1998-06-14,4.81,Shipping
142,Абрикос,8337,619,Фрукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2015-01-01,2023-01-01,4.9,Cancelled
143,Кабачок,2819,624,Овощи,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1991-04-13,2010-06-04,2.48,Awaiting Payment
144,Безалкогольный мохито,562,802,Напитки,Часто рекомендуется врачами-диетологами как часть здорового питания.,2013-09-11,2025-05-03,3.37,Temporarily Unavailable
